,Number of Students,
School ID,Not Boarding,Boarding
1,57,1
2,81,0
3,37,1
4,49,2
5,57,0
6,76,1
7,76,0
8,70,1
9,108,2
10,92,0
11,118,1
12,75,1
13,12,71
14,82,14
15,81,16
16,4,89
17,94,0
18,48,1
19,55,1
20,102,1
21,104,6
22,50,4
23,74,5
24,123,1
25,52,1
26,36,0
27,56,1
28,62,0
29,38,1
30,58,0
31,54,0
32,56,1
33,86,1
34,60,0
35,39,0
36,82,1
37,97,0
38,62,0
39,53,0
40,14,1
41,94,1
42,66,2
43,83,1
44,55,0
45,94,24
46,19,50
47,76,40
48,71,8
49,42,42
50,4,91
51,31,45
52,5,45
53,82,12
54,5,89
55,9,57
56,4,107
57,89,6
58,83,10
59,26,44
60,28,42
61,134,2
62,125,6
63,84,11
64,7,14
65,91,2
66,3,84
67,4,92
68,10,87
69,10,71
70,22,93
71,5,106
72,2,82
73,2,68
74,2,86
75,50,40
76,28,35
77,78,3
78,73,25
79,54,29
80,86,0
81,7,82
82,4,66
83,5,76
84,8,29
85,72,5
86,79,3
87,52,6
88,61,6
89,94,1
90,100,0
91,74,2
92,95,0
93,98,0
94,93,0
95,83,0
96,85,0
97,9,45
98,33,43
99,34,44
100,27,27
101,108,3
102,7,78
103,55,35
104,47,72
105,115,1
106,8,112
107,1,91
108,10,96
109,107,2
110,92,1
111,114,1
112,136,1
